"ARVO","NIMI_FI","NIMI_SV","NIMI_EN","KUVAUS_FI","LYHYTNIMI_FI","KUVAUS_SV","LYHYTNIMI_SV","KUVAUS_EN","LYHYTNIMI_EN","ALKUPVM","LOPPUPVM"
623999,"Hum. kand., muu tai tuntematon ala","Hum. kand., annat eller okänt specialområde","BA, Other Field",,"HuK, muu ala",,"HuK, ann. spec.omr.",,"Bachelor of Arts, Other or Unknown Field",01.01.1997,
624000,"Teologian koulutus, alempi korkeakouluaste","Teologiutbildning på lägre högskolenivå","Education in Theology, Level 6",,"Teologian koul, 6-aste",,"Teologiutbildning, nivå 6",,"Education in Theology, Lower-Degree Level Tertiary Education",01.01.1997,
624100,"Teologian koulutus, alempi korkeakouluaste","Teologiutbildning på lägre högskolenivå","Education in Theology, Level 6",,"Teologian koul, 6-aste",,"Teologiutbildning, nivå 6",,"Education in Theology, Lower-Degree Level Tertiary Education",01.01.1997,
624101,"Teologian kandidaatti (alempi)","Teologie kandidat (lägre)","Bachelor of Theology",,"Teologian kandidaatti (al)",,"Teologie kandidat (lägre)",,"Bachelor of Theology",01.01.1997,
624199,"Muu tai tuntematon teologian koulutus, alempi korkeakouluaste","Annan eller okänd teologiutbildning på lägre högskolenivå","Other Ed. in Theology, Level 6",,"Muu teologian koulutus, 6-aste",,"Ann. teologiutbildning, nivå 6",,"Other or Unknown Education in Theology, Lower-Degree Level Tertiary Education",01.01.1997,
628000,"Diplomikielenkääntäjä (kieli-instituutti)","Diplomtranslator (språkinstitut)","Diploma in Translation, Lvl 6",,"Dipl.kielenkäänt. (kieli-inst)",,"Diplomtranslator (språkinst.)",,"Diploma in Translation (Language Insitute)",01.01.1997,
628100,"Diplomikielenkääntäjä (kieli-instituutti)","Diplomtranslator (språkinstitut)","Diploma in Translation, Lvl 6",,"Dipl.kielenkäänt. (kieli-inst)",,"Diplomtranslator (språkinst.)",,"Diploma in Translation (Language Institute)",01.01.1997,
628151,"Diplomikielenkääntäjä, ruotsi","Diplomtranslator, svenska","Univ. Dipl., Transl., Swedish",,"Dipl.kielenkäänt., ruotsi",,"Diplomtranslator, svenska",,"University Diploma in Translation, Swedish",01.01.1997,
628152,"Diplomikielenkääntäjä, englanti","Diplomtranslator, engelska","Univ. Dipl., Transl., English",,"Dipl.kielenkäänt., englanti",,"Diplomtranslator, engelska",,"University Diploma in Translation, English",01.01.1997,
628153,"Diplomikielenkääntäjä, saksa","Diplomtranslator, tyska","Univ. Dipl., Transl., German",,"Dipl.kielenkäänt., saksa",,"Diplomtranslator, tyska",,"University Diploma in Translation, German",01.01.1997,
628154,"Diplomikielenkääntäjä, ranska","Diplomtranslator, franska","Univ. Dipl., Transl., French",,"Dipl.kielenkäänt., ranska",,"Diplomtranslator, franska",,"University Diploma in Translation, French",01.01.1997,
628155,"Diplomikielenkääntäjä, venäjä","Diplomtranslator, ryska","Univ. Dipl., Transl., Russian",,"Dipl.kielenkäänt., venäjä",,"Diplomtranslator, ryska",,"University Diploma in Translation, Russian",01.01.1997,
628199,"Diplomikielenkääntäjä, muu tai tuntematon kieli","Diplomtranslator, annat eller okänt språk","Univ. Dipl., Other Translation",,"Dipl.kielenkäänt., muu kieli",,"Diplomtranslator, ann. språk",,"University Diploma in Translation, Other or Unknown Language",01.01.1997,
629000,"Muu humanistinen ja taidealan koulutus, alempi korkeakouluaste","Annan utbildning i humanistiska ämnen och konst på lägre högskolenivå","Other Ed. in Humanities, Lvl 6",,"Muu hum., taideala, 6-aste",,"Ann. utb., hum. o konst,nivå 6",,"Other Education in Humanities and Arts, Lower-Degree Level Tertiary Education",01.01.1997,
629900,"Muu humanistinen ja taidealan koulutus, alempi korkeakouluaste","Annan utbildning i humanistiska ämnen och konst på lägre högskolenivå","Other Ed. in Humanities, Lvl 6",,"Muu hum., taideala, 6-aste",,"Ann. utb., hum. o konst,nivå 6",,"Other Education in Humanities and Arts, Lower-Degree Level Tertiary Education",01.01.1997,
629999,"Muu tai tuntematon humanistinen ja taidealan koulutus, alempi korkeakouluaste","Annan eller okänd utbildning i humanistiska ämnen och konst på lägre högskolenivå","Other Ed. in Humanities, Lvl 6",,"Muu hum., taideala, 6-aste",,"Ann. utb., hum. o konst,nivå 6",,"Other or Unknown Education in Humanities and Arts, Lower-Degree Level Tertiary Education",01.01.1997,
631000,"Tradenomi, liiketalouden ammattikorkeakoulututkinto","Tradenom, yrkeshögskoleexamen inom företagsekonomi","BBA (Poly), Business Admin.",,"Tradenomi, liiketalouden AMK",,"Tradenom, y.h.ex., föret.ek.",,"Bachelor of Business Administration (Polytechnic), Business Administration",01.01.1997,
631100,"Tradenomi, liiketalouden ammattikorkeakoulututkinto","Tradenom, yrkeshögskoleexamen inom företagsekonomi","BBA (Poly), Business Admin.",,"Tradenomi, liiketalouden AMK",,"Tradenom, y.h.ex., föret.ek.",,"Bachelor of Business Administration (Polytechnic), Business Administration",01.01.1997,
631101,"Tradenomi, talous, hallinto ja markkinointi","Tradenom, ekonomi, förvaltning och marknadsföring","BBA (Poly), Econ. Adm., Mark.",,"Tradenomi, tal., hall., markk.",,"Tradenom, ekon., förv., markn.",,"Bachelor of Business Administration (Polytechnic), Economics, Administration and Marketing",01.01.1997,
631104,"Tradenomi, sihteerityö ja kielet","Tradenom, sekreterararbete och språk","BBA (Poly), Secr., Lang.",,"Tradenomi, sihteerityö, kielet",,"Tradenom, sekr.arbete o språk",,"Bachelor of Business Administration (Polytechnic), Secretarial and Language Studies",01.01.1997,
631107,"Tradenomi, tietojenkäsittely","Tradenom, databehandling","BBA (Poly), Data Proc.",,"Tradenomi, tietojenkäsittely",,"Tradenom, databehandling",,"Bachelor of Business Administration (Polytechnic), Data Processing",01.01.1997,
631109,"Tradenomi, kirjasto- ja informaatiopalvelut","Tradenom, biblioteks- och informationstjänster","BBA (Poly), Lib, Inf. Serv.",,"Tradenomi, kirjasto-,inform.p.",,"Tradenom, bibl.- o inf.tjänst.",,"Bachelor of Business Administration (Polytechnic), Library and Information Services",01.01.1997,
631110,"Tradenomi, matkailu","Tradenom, turism","BBA (Poly), Tourism",,"Tradenomi, matkailu",,"Tradenom, turism",,"Bachelor of Business Administration (Polytechnic), Tourism",01.01.1997,
631199,"Tradenomi, muu tai tuntematon ala","Tradenom, annat eller okänt område","BBA (Poly), Other Field",,"Tradenomi, muu ala",,"Tradenom, annat område",,"Bachelor of Business Administration (Polytechnic), Other or Unknown Field",01.01.1997,
632000,"Kauppatieteellinen koulutus, alempi korkeakouluaste","Ekonomisk utbildning på lägre högskolenivå","Ed. in Business, Level 6",,"Kauppatiet. koul, 6-aste",,"Ekonomisk utbildning, nivå 6",,"Education in Business, Lower-Degree Level Tertiary Education",01.01.1997,
632100,"Kauppatieteiden kandidaatti (alempi)","Ekonomie kandidat (lägre)","BSc (Econ., Business Admin.)",,"Kauppatieteiden kand. (alempi)",,"Ekonomie kandidat (lägre)",,"Bachelor of Science (Economics and Business Administration)",01.01.1997,
632101,"Kauppat. kand. (alempi), liiketaloustieteet","Ekon. kand. (lägre), företagsekonomi","BSc, Business Economics",,"KTK (al), liiketaloustieteet",,"EK (lägre), föret.ek.",,"Bachelor of Science (Economics and Business Administration), Business Economics",01.01.1997,
632105,"Kauppat. kand. (alempi), yhteiskuntatieteet","Ekon. kand. (lägre), samhällsvetenskaper","BSc, Social Sciences",,"KTK (al), yhteiskuntatieteet",,"EK (lägre), samh.vet.",,"Bachelor of Science (Economics and Business Administration), Social Sciences",01.01.1997,
632114,"Kauppat. kand. (alempi), tilastotiede","Ekon. kand. (lägre), statistik","BSc, Statistics",,"KTK (al), tilastotiede",,"EK (lägre), statistik",,"Bachelor of Science (Economics and Business Administration), Statistics",01.01.2006,
632115,"Kauppat. kand. (alempi), tietojärjestelmätiede","Ekon. kand. (lägre), informationssystem","BSc, Information Systems Sc.",,"KTK (al), tietojärjestelmät.",,"EK (lägre), inf.syst.",,"Bachelor of Science (Economics and Business Administration), Information Systems Science",01.01.1997,
632199,"Kauppat. kand. (alempi), muu tai tuntematon pääaineryhmä","Ekon. kand. (lägre), annat eller okänt huvudämne","BSc, Other Field",,"KTK (al), muu pääaineryhmä",,"EK (lägre), ann. h.ä.",,"Bachelor of Science (Economics and Business Administration), Other or Unknown Field",01.01.1997,
632200,"Ekonomi (alempi)","Ekonom (lägre)","BSc (Econ., Business Admin.)",,"Ekonomi (alempi)",,"Ekonom (lägre)",,"Bachelor of Science (Economics and Business Administration)",01.01.1997,
632201,"Ekonomi (alempi), liiketaloustieteet","Ekonom (lägre), företagsekonomi","BSc, Business Economics",,"Ekon. (al), liiketaloustieteet",,"Ekonom (lägre), föret.ek.",,"Bachelor of Science (Economics and Business Administration), Business Economics",01.01.1997,
632205,"Ekonomi (alempi), yhteiskuntatieteet","Ekonom (lägre), samhällsvetenskaper","BSc, Social Sciences",,"Ekon. (al), yhteiskuntatieteet",,"Ekonom (lägre), samh.vet.sk.",,"Bachelor of Science (Economics and Business Administration), Social Sciences",01.01.1997,
632214,"Ekonomi (alempi), tilastotiede","Ekonom (lägre), statistik","BSc, Statistics",,"Ekon. (al), tilastotiede",,"Ekonom (lägre), statistik",,"Bachelor of Science (Economics and Business Administration), Statistics",01.01.1997,
632215,"Ekonomi (alempi), tietojärjestelmätiede","Ekonom (lägre), informationssystem","BSc, Information Systems Sc.",,"Ekon. (al), tietojärj.tiede",,"Ekonom (lägre), inf.syst.",,"Bachelor of Science (Economics and Business Administration), Information Systems Science",01.01.1997,
632299,"Ekonomi (alempi), muu tai tuntematon pääaineryhmä","Ekonom (lägre), annat eller okänt huvudämne","BSc, Other Field",,"Ekon. (al), muu pääaineryhmä",,"Ekonom (lägre), ann. huvudämne",,"Bachelor of Science (Economics and Business Administration), Other or Unknown Field",01.01.1997,
632400,"Akateeminen sihteeri ja kirjeenvaihtaja","Akademisk sekreterare och diplomkorrespondent","Univ. Dipl., Academic Secr.",,"Akat. siht., kirjeenvaihtaja",,"Akademisk sekr. o dipl.korr.",,"University Diploma for Academic Secretary and Correspondent",01.01.1997,
632451,"Akateeminen sihteeri","Akademisk sekreterare","Univ. Dipl., Academic Secr.",,"Akateeminen sihteeri",,"Akademisk sekreterare",,"University Diploma for Academic Secretary",01.01.1997,
632452,"Kirjeenvaihtaja","Diplomkorrespondent","Univ. Dipl., Correspondent",,"Kirjeenvaihtaja",,"Diplomkorrespondent",,"University Diploma for Correspondent",01.01.1997,
632900,"Muu kauppatieteellinen koulutus, alempi korkeakouluaste","Annan ekonomisk utbildning på lägre högskolenivå","Other Ed. in Business, Lvl 6",,"Muu kauppatiet. koul, 6-aste",,"Ann. ekon. utb., nivå 6",,"Other Education in Business, Lower-Degree Level Tertiary Education",01.01.1997,
632999,"Muu tai tuntematon kauppatieteellinen koulutus, alempi korkeakouluaste","Annan eller okänd ekonomisk utbildning på lägre högskolenivå","Other Ed. in Business, Lvl 6",,"Muu kauppatiet. koul, 6-aste",,"Ann. ekon. utb., nivå 6",,"Other or Unknown Education in Business, Lower-Degree Level Tertiary Education",01.01.1997,
633000,"Yhteiskuntatieteellinen koulutus, alempi korkeakouluaste","Samhällsvetenskaplig utbildning på lägre högskolenivå","Ed. in Social Sciences, Lvl 6",,"Yhteiskuntatiet. koul, 6-aste",,"Samh.vetensk. utb., nivå 6",,"Education in Social Sciences, Lower-Degree Level Tertiary Education",01.01.1997,
633100,"Valtiotieteiden kandidaatti (alempi)","Politices kandidat (lägre)","Bachelor of Social Sciences",,"Valtiot. kand. (alempi)",,"Politices kandidat (lägre)",,"Bachelor of Social Sciences",01.01.1997,
633101,"Valtiot. kand. (alempi), politiikkatieteet","Pol. kand. (lägre), politikvetenskaper","Bachelor of Social Sciences",,"VTK (al), politiikkatieteet",,"PK (lägre), politikvetenskaper",,"Bachelor of Social Sciences, Political Sciences",01.01.1997,
633102,"Valtiot. kand. (alempi), taloustieteet","Pol. kand. (lägre), ekonomivetenskaper","BSocSc, Economics",,"VTK (al), taloustieteet",,"PK (lägre), ekon.vet.",,"Bachelor of Social Sciences, Economics",01.01.1997,
633103,"Valtiot. kand. (alempi), sosiaalitieteet","Pol. kand. (lägre), socialvetenskaper","BSocSc, Social Studies",,"VTK (al), sosiaalitieteet",,"PK (lägre), soc.vet.",,"Bachelor of Social Sciences, Social Studies",01.01.1997,
633105,"Valtiot. kand. (alempi), psykologia","Pol. kand. (lägre), psykologi","BSocSc, Psychology",,"VTK (al), psykologia",,"PK (lägre), psykologi",,"Bachelor of Social Sciences, Psychology",01.01.1997,
633106,"Valtiot. kand. (alempi), viestintätieteet","Pol. kand. (lägre), kommunikationsvetenskaper","BSocSc, Communication Sc.",,"VTK (al), viestintätieteet",,"PK (lägre), komm.vet.",,"Bachelor of Social Sciences, Communication Sciences",01.01.1997,
633107,"Valtiot. kand. (alempi), filosofia","Pol. kand. (lägre), filosofi","BSocSc, Philosophy",,"VTK (al), filosofia",,"PK (lägre), filosofi",,"Bachelor of Social Sciences, Philosophy",01.01.1997,
633108,"Valtiot. kand. (alempi), tilastotiede","Pol. kand. (lägre), statistik","BSocSc, Statistics",,"VTK (al), tilastotiede",,"PK (lägre), statistik",,"Bachelor of Social Sciences, Statistics",01.01.1997,
633199,"Valtiot. kand. (alempi), muu tai tuntematon pääaineryhmä","Pol. kand. (lägre), annat eller okänt huvudämne","BSocSc, Other Field",,"VTK (al), muu pääaineryhmä",,"PK (lägre), ann. h.ä.",,"Bachelor of Social Sciences, Other or Unknown Field",01.01.1997,
633200,"Yhteiskuntatieteiden kandidaatti (alempi)","Kandidat i samhällsvetenskaper (lägre)","Bachelor of Social Sciences",,"Yhteiskuntat. kand. (alempi)",,"Kand. i samh.vet.sk. (lägre)",,"Bachelor of Social Sciences",01.01.1997,
633201,"Yhteiskuntat. kand. (alempi), politiikkatieteet","Samh. kand. (lägre), politikvetenskaper","BSocSc, Political Sciences",,"YTK (al), politiikkatieteet",,"SVK (lägre), politikvetenskap.",,"Bachelor of Social Sciences, Political Sciences",01.01.1997,
