"KOODIARVO","NIMI_FI","NIMI_SV","ALKUPVM","LOPPUPVM"
"07740","Tuotantoavustaja","Produktionsassistent",19.5.2011,
"07740","Tuotantosihteeri","Produktionssekreterare",19.5.2011,
"00290","Muut sähkötekniikan insinöörit","Övriga ingenjörer inom elteknik",19.5.2011,
"07750","Tarpeistonhoitaja","Rekvisitaföreståndare",19.5.2011,
"07760","Valaistusmestari","Belysningsmästare",19.5.2011,
"07770","Elokuvaleikkaaja","Filmklippare",19.5.2011,
"07770","Leikkaaja (elokuva)","Filmklippare",19.5.2011,
"07790","Muut ohjaajat ja näyttömömestarit","Övriga regissörer och scenmästare",19.5.2011,
"07790","Ääniarkistonhoitaja","Ljudeffektarkivarie",19.5.2011,
"079","Muu taiteellinen ja viihteellinen työ","Övrigt konstnärligt o. underhållande arbete",19.5.2011,
"07910","Maskeeraaja","Maskör",19.5.2011,
"07910","Naamioija","Maskör",19.5.2011,
"07910","Ehostaja","Sminkör",19.5.2011,
"00290","Vahvavirtainsinööri","Starkströmsingenjör",19.5.2011,
"07920","Tarpeistonhankkija","Rekvisitör",19.5.2011,
"07930","Puvustonhoitaja","Föreståndare för kostymatelje",19.5.2011,
"07940","Musiikkikuiskaaja","Musiksufflör",19.5.2011,
"07940","Kuiskaaja","Sufflör",19.5.2011,
"07990","Muut taiteellista ja viihteellistä työtä tekevät","Övriga inom konst och underhållning",19.5.2011,
"07990","Taidekäsityöläinen","Konsthantverkare",19.5.2011,
"07990","Tarpeistonvalmistaja","Rekvisitatillverkare",19.5.2011,
"08","Kirjasto- ja informaatioala","Biblioteks-, arkiv- o museiarbete samt informatik",19.5.2011,
"081","Kirjastotyöntekijät","Bibliotekarier",19.5.2011,
"08110","Yleisen kirjaston kirjastonhoitaja","Bibliotekarie (allmänt bibliotek)",19.5.2011,
"00295","Muut sähkötekniikan teknikot","Övriga tekniker inom elteknik",19.5.2011,
"08110","Kirjastoamanuenssi","Biblioteksamanuens",19.5.2011,
